update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,average_reward_per_step,average_discounted_return,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
58,475136,151.14223254841795,3158,1.0,0.0,1.0,1.0,0.33266030347528147,0.8093458149779739,3.0080763582966226,0.08950492016245357,3.0,4.0,0.022657081484794617,0.9025301784276962,-0.0005457789338834118,2.602249594474415e-05,0.006485106031686378,1.0,0.0,1.0,1.0
59,483328,145.8174751080757,3214,1.0,0.0,1.0,1.0,0.33256824580732036,0.8092563349247157,3.0091810503121557,0.09537692921939445,3.0,4.0,0.022012570407241583,0.9021142199635506,-0.00043072353219031356,2.708968730757988e-05,0.0071806363098715735,1.0,0.0,1.0,1.0
60,491520,149.0600997979717,3269,1.0,0.0,1.0,1.0,0.3325067352436934,0.8091965466568702,3.0099191770756795,0.09909988396471996,3.0,4.0,0.021137659205123782,0.902933657169342,-0.0002077176641250844,3.097699504905904e-05,0.004959815990956123,1.0,0.0,1.0,1.0
61,499712,151.47602126684868,3323,1.0,0.0,1.0,1.0,0.332843857072932,0.8095242290748903,3.0058737151248165,0.07641475378124926,3.0,4.0,0.020761135732755065,0.9031817615032196,-0.00027094319375464693,1.9718878093044623e-05,0.0031597519569058594,1.0,0.0,1.0,1.0
62,507904,151.0889844250124,3377,1.0,0.0,1.0,1.0,0.33262919421993636,0.8093155767817786,3.0084496693607643,0.0915329036382978,3.0,4.0,0.020589429885149002,0.902913011610508,8.815456112643005e-05,2.8186519841710833e-05,0.0056014723821524014,1.0,0.0,1.0,1.0
63,516096,151.3930814879378,3432,1.0,0.0,1.0,1.0,0.33262945280940137,0.8093158281307384,3.008446566287183,0.0915162379315249,3.0,4.0,0.02009102562442422,0.9027792066335678,0.0002535495241318131,2.736825627636108e-05,0.0067479216649602,1.0,0.0,1.0,1.0
64,524288,144.24724697037124,3488,1.0,0.0,1.0,1.0,0.3327516531961793,0.8094346069066866,3.0069801616458487,0.08325526403325176,3.0,4.0,0.019920357037335634,0.9030190333724022,0.0008421749880653806,2.1160255357699498e-05,0.0047933693456145305,1.0,0.0,1.0,1.0
65,532480,151.68399416981617,3542,1.0,0.0,1.0,1.0,0.33290613938728186,0.8095847674844382,3.005126327352618,0.0714146211954659,3.0,4.0,0.020210644463077188,0.9031866267323494,0.00014815810209256597,1.7008168697429937e-05,0.002871516060169548,1.0,0.0,1.0,1.0
66,540672,150.97966895636372,3597,1.0,0.0,1.0,1.0,0.33262945280940137,0.8093158281307384,3.008446566287183,0.0915162379315249,3.0,4.0,0.020182771142572165,0.9028522819280624,0.0002801630971589475,2.6750706723532858e-05,0.006146071064771238,1.0,0.0,1.0,1.0
67,548864,144.6395067442072,3653,1.0,0.0,1.0,1.0,0.3325367647058824,0.8092257352941178,3.009558823529412,0.09730083464259352,3.0,4.0,0.019295146921649575,0.9025801867246628,0.0005228754725976614,2.915720298801716e-05,0.005598430272898324,1.0,0.0,1.0,1.0
